"vote","prtvede1","prtvede2","gndr","agea"
"Yes","The Greens","The Greens","Female",49
"Not eligible to vote",NA,NA,"Male",24
"Not eligible to vote",NA,NA,"Female",24
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",57
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",40
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",21
"Yes","The Greens","The Greens","Female",28
"No",NA,NA,"Female",50
"Yes","The Greens","The Greens","Male",48
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",27
"Not eligible to vote",NA,NA,"Male",46
"Not eligible to vote",NA,NA,"Male",20
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",52
"Yes","The Greens","The Greens","Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",49
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",59
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",19
"Not eligible to vote",NA,NA,"Male",22
"No",NA,NA,"Male",24
"No",NA,NA,"Female",63
"Yes",NA,NA,"Female",59
"Yes","Social Democratic Party (SPD)","The Greens","Male",67
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",29
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",46
"Yes",NA,NA,"Male",NA
"Yes","The Greens","The Greens","Male",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",87
"No",NA,NA,"Male",21
"Yes","Social Democratic Party (SPD)","Alternative for Germany (AFD)","Male",65
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",19
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",51
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",45
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",78
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",70
"Yes","The Greens","The Greens","Female",46
"Not eligible to vote",NA,NA,"Female",17
"No",NA,NA,"Female",90
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",80
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",78
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",36
"Yes","The Greens","The Left (Die Linke)","Female",20
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",42
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",78
"No",NA,NA,"Male",21
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",72
"Yes","The Left (Die Linke)","The Greens","Female",25
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",43
"Not eligible to vote",NA,NA,"Female",18
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",75
"Yes","Other","The Greens","Female",35
"Not eligible to vote",NA,NA,"Male",16
"Yes",NA,NA,"Female",72
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Male",29
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",23
"Not eligible to vote",NA,NA,"Male",21
"Yes","The Greens","The Greens","Male",37
"Yes","The Left (Die Linke)","Christian Democratic Union (CDU/CSU)","Female",59
"Yes","The Greens","The Greens","Female",47
"Not eligible to vote",NA,NA,"Male",18
"No",NA,NA,"Female",51
"Not eligible to vote",NA,NA,"Male",37
"Yes",NA,NA,"Female",55
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",26
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",20
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",79
"Yes","Social Democratic Party (SPD)","Other","Female",24
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",19
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",59
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Female",53
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",64
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",79
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",81
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",68
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",64
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",37
"Yes",NA,NA,"Male",82
"Yes","The Greens","The Greens","Female",39
"Yes","The Greens","The Greens","Male",35
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",27
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",69
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",28
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",67
"No",NA,NA,"Male",55
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Female",40
"Not eligible to vote",NA,NA,"Male",50
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",68
"Yes","Social Democratic Party (SPD)","The Greens","Male",63
"Yes",NA,NA,"Female",64
"Yes",NA,NA,"Female",41
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",76
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",25
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",44
"No",NA,NA,"Female",30
"Yes","Christian Democratic Union (CDU/CSU)","Alternative for Germany (AFD)","Female",52
"No",NA,NA,"Male",71
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",43
"No",NA,NA,"Female",55
"No",NA,NA,"Male",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",59
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",74
"Yes","The Greens","The Greens","Male",44
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",81
"No",NA,NA,"Female",49
"Yes","Social Democratic Party (SPD)","The Left (Die Linke)","Male",71
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",80
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",39
"Not eligible to vote",NA,NA,"Male",18
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",57
"Yes",NA,NA,"Female",30
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",51
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",57
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",45
"Not eligible to vote",NA,NA,"Male",16
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",79
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",49
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",70
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",69
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",63
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",62
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",29
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",78
"Yes","Christian Democratic Union (CDU/CSU)","The Left (Die Linke)","Female",21
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",50
"Not eligible to vote",NA,NA,"Female",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",69
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",75
"No",NA,NA,"Male",28
"No",NA,NA,"Female",52
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",25
"Yes","The Greens","The Greens","Male",52
"Yes","The Greens","Social Democratic Party (SPD)","Female",47
"Yes","Social Democratic Party (SPD)","Alternative for Germany (AFD)","Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",55
"Yes","The Greens","The Greens","Female",57
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",65
"Yes","The Left (Die Linke)","Christian Democratic Union (CDU/CSU)","Female",64
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",57
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",25
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",33
"Not eligible to vote",NA,NA,"Female",16
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",26
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",56
"Yes","Social Democratic Party (SPD)","The Greens","Male",19
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",68
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",29
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",86
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",76
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",46
"No",NA,NA,"Male",25
"Yes","The Greens","The Greens","Male",57
"Yes","The Greens","The Greens","Female",47
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",64
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Female",61
"Yes",NA,NA,"Male",52
"Yes",NA,NA,"Female",22
"Yes","The Greens","The Greens","Male",49
"Yes",NA,NA,"Female",52
"Not eligible to vote",NA,NA,"Female",19
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",61
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",38
"Yes","The Greens","Other","Female",37
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",66
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",38
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",69
"Yes","The Greens","The Greens","Male",65
"Yes",NA,NA,"Female",40
"Yes",NA,NA,"Female",59
"Yes","The Greens","The Greens","Female",76
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",72
"Yes",NA,NA,"Male",33
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",74
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",59
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",24
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",27
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",90
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Female",42
"Yes","The Greens","The Greens","Female",37
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",45
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",54
"No",NA,NA,"Female",67
"Not eligible to vote",NA,NA,"Female",33
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",47
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",65
"Yes",NA,"The Greens","Male",67
"Yes","Social Democratic Party (SPD)","The Greens","Female",71
"Not eligible to vote",NA,NA,"Male",44
"Yes","The Greens","The Greens","Female",62
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",36
"Yes","Social Democratic Party (SPD)","The Greens","Male",76
"No",NA,NA,"Male",56
"Not eligible to vote",NA,NA,"Male",24
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",39
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",40
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",42
"Yes","The Greens","The Greens","Female",39
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",33
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",49
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Male",63
"Not eligible to vote",NA,NA,"Female",16
"Yes","Social Democratic Party (SPD)","The Greens","Male",34
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Female",57
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",16
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",32
"Not eligible to vote",NA,NA,"Male",51
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",50
"Yes",NA,"Social Democratic Party (SPD)","Male",40
"Not eligible to vote",NA,NA,"Male",17
"Yes",NA,NA,"Male",68
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",47
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",26
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",66
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",82
"No",NA,NA,"Male",63
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",63
"Yes",NA,NA,"Male",27
"Not eligible to vote",NA,NA,"Male",36
"Not eligible to vote",NA,NA,"Female",24
"Yes",NA,"Social Democratic Party (SPD)","Male",55
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",35
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",55
"Not eligible to vote",NA,NA,"Male",41
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",88
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",72
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",55
"No",NA,NA,"Male",22
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",82
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",72
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",56
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",70
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",48
"Yes","Christian Democratic Union (CDU/CSU)","Social Democratic Party (SPD)","Male",20
"Not eligible to vote",NA,NA,"Male",18
"Not eligible to vote",NA,NA,"Female",16
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",73
"Yes",NA,"The Left (Die Linke)","Female",56
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",35
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",75
"Yes","The Greens","The Greens","Female",69
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",58
"Yes","Alternative for Germany (AFD)","Christian Democratic Union (CDU/CSU)","Female",44
"No",NA,NA,"Female",16
"Yes",NA,"Alternative for Germany (AFD)","Female",42
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Female",37
"Yes","The Greens","The Greens","Female",43
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Female",53
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",56
"Not eligible to vote",NA,NA,"Male",30
"Not eligible to vote",NA,NA,"Male",26
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",38
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",20
"Yes","Other","Other","Female",48
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",60
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",71
"Not eligible to vote",NA,NA,"Male",21
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",28
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",68
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",86
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",69
"Not eligible to vote",NA,NA,"Female",17
"Not eligible to vote",NA,NA,"Female",17
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",71
"No",NA,NA,"Male",27
"Yes","Alternative for Germany (AFD)","Christian Democratic Union (CDU/CSU)","Male",36
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",32
"Yes",NA,NA,"Female",46
"Not eligible to vote",NA,NA,"Male",16
"Yes",NA,NA,"Female",20
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",20
"No",NA,NA,"Female",38
"Not eligible to vote",NA,NA,"Male",21
"No",NA,NA,"Male",42
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",22
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",32
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",28
"Not eligible to vote",NA,NA,"Female",19
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",30
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",54
"No",NA,NA,"Male",63
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",58
"Yes",NA,NA,"Male",53
"Yes","Free Democratic Party (FDP)","Christian Democratic Union (CDU/CSU)","Female",83
"Yes","The Greens","The Greens","Male",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",49
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Female",63
"Not eligible to vote",NA,NA,"Male",22
"Not eligible to vote",NA,NA,"Female",21
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",22
"No",NA,NA,"Female",82
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",78
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",71
"Yes",NA,NA,"Male",70
"Not eligible to vote",NA,NA,"Male",16
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",49
"Not eligible to vote",NA,NA,"Female",29
"Yes","Free Democratic Party (FDP)",NA,"Male",79
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",25
"No",NA,NA,"Female",31
"Yes","Free Democratic Party (FDP)","Social Democratic Party (SPD)","Male",73
"Yes","The Greens","The Greens","Male",74
"Yes",NA,NA,"Female",33
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",23
"Yes",NA,NA,"Female",36
