Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, 
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Scott Andrews ** Liberal/Libéral,Parliamentarian/,16008,44,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Fabian Manning Conservative/Conservateur,Business Manager/,14749,40.5,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Matthew Martin Fuchs NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Coordinator/,5157,14.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Randy Wayne Dawe Independent/Indépendant,Manager/,276,0.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Matt Crowder Green Party/Parti Vert,Student/,218,0.6,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Gander--Grand Falls--Windsor,Scott Simms ** Liberal/Libéral,Parliamentarian/,17977,57.7,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Gander--Grand Falls--Windsor,Aaron Hynes Conservative/Conservateur,Policy Advisor/,8595,27.6,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Gander--Grand Falls--Windsor,Clyde Bridger NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Security Guard/,4306,13.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Gander--Grand Falls--Windsor,Robyn Kenny Green Party/Parti Vert,Videographer/,279,0.9,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Gerry Byrne ** Liberal/Libéral,Parliamentarian/,17119,57,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Trevor Taylor Conservative/Conservateur,Environmental Consultant/,7559,25.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Shelley Senior NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Lawyer/,4751,15.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Wayne R. Bennett Independent/Indépendant,Retired/,332,1.1,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Robin Blair Gosse Green Party/Parti Vert,Student/,253,0.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,Peter Penashue Conservative/Conservateur,Businessman/,4256,39.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,Todd Russell ** Liberal/Libéral,Parliamentarian/,4177,39.1,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,Jacob Larkin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,School Principal/Teacher/,2120,19.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,George C.R. Barrett Green Party/Parti Vert,Pilot/,139,1.3,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Random--Burin--St. George's,Judy Foote ** Liberal/Libéral,Parliamentarian/,12914,49.7,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Random--Burin--St. George's,John Ottenheimer Conservative/Conservateur,Lawyer/,8322,32,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Random--Burin--St. George's,Stella Magalios NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Waitress/,4465,17.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Random--Burin--St. George's,Tanya Gutmanis Green Party/Parti Vert,Student/,307,1.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,Jack Harris ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Lawyer/,31388,71.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,Jerry Byrne Conservative/Conservateur,Retired Eng./Businessman/,9198,20.9,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,John Allan Liberal/Libéral,Business Owner/,3019,6.9,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,Robert Miller Green Party/Parti Vert,Architectural Engineering Technologist/,467,1.1,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Ryan Cleary NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Journalist/Writer/,18681,47.9,
