Year,Province,Electoral District,Party,Votes Obtained,Percentage of Votes Obtained
1867,New Brunswick,ALBERT,Liberal,778,52.14
1867,New Brunswick,ALBERT,Unknown,714,47.86
1867,New Brunswick,CARLETON,Liberal,accl.,NA
1867,New Brunswick,CHARLOTTE,Liberal,1214,56.94
1867,New Brunswick,CHARLOTTE,Unknown,918,43.06
1867,New Brunswick,CITY AND COUNTY OF ST. JOHN,Conservative,accl.,NA
1867,New Brunswick,CITY OF ST. JOHN,Liberal-Conservative,1402,69.68
1867,New Brunswick,CITY OF ST. JOHN,Unknown,610,30.32
1867,New Brunswick,GLOUCESTER,Liberal,1061,61.26
1867,New Brunswick,GLOUCESTER,Unknown,671,38.74
1867,New Brunswick,KENT,Liberal,876,41.28
1867,New Brunswick,KENT,Unknown,757,35.67
1867,New Brunswick,KENT,Unknown,485,22.86
1867,New Brunswick,KENT,Unknown,4,0.19
1867,New Brunswick,KING'S,Liberal,1303,54.61
1867,New Brunswick,KING'S,Unknown,1083,45.39
1867,New Brunswick,NORTHUMBERLAND,Liberal,1226,61.83
1867,New Brunswick,NORTHUMBERLAND,Unknown,757,38.17
1867,New Brunswick,QUEEN'S,Liberal,accl.,NA
1867,New Brunswick,RESTIGOUCHE,Liberal,370,58.82
1867,New Brunswick,RESTIGOUCHE,Unknown,259,41.18
1867,New Brunswick,SUNBURY,Liberal,664,60.97
1867,New Brunswick,SUNBURY,Unknown,425,39.03
1867,New Brunswick,VICTORIA,Liberal-Conservative,778,57.93
1867,New Brunswick,VICTORIA,Unknown,549,40.88
1867,New Brunswick,VICTORIA,Unknown,16,1.19
1867,New Brunswick,VICTORIA,Unknown,0,0
1867,New Brunswick,WESTMORLAND,Liberal,2207,82.94
1867,New Brunswick,WESTMORLAND,Unknown,454,17.06
1867,New Brunswick,YORK,Liberal,accl.,NA
1867,Nova Scotia,ANNAPOLIS,Anti-Confederate,1171,53.54
1867,Nova Scotia,ANNAPOLIS,Conservative,1016,46.46
1867,Nova Scotia,ANTIGONISH,Anti-Confederate,1238,76.04
1867,Nova Scotia,ANTIGONISH,Conservative,390,23.96
1867,Nova Scotia,CAPE BRETON,Anti-Confederate,accl.,NA
1867,Nova Scotia,COLCHESTER,Anti-Confederate,1649,56.13
1867,Nova Scotia,COLCHESTER,Liberal-Conservative,1289,43.87
1867,Nova Scotia,CUMBERLAND,Conservative,1368,51.84
1867,Nova Scotia,CUMBERLAND,Anti-Confederate,1271,48.16
1867,Nova Scotia,DIGBY,Anti-Confederate,792,47.97
1867,Nova Scotia,DIGBY,Unknown,497,30.1
1867,Nova Scotia,DIGBY,Unknown,362,21.93
1867,Nova Scotia,GUYSBOROUGH,Anti-Confederate,accl.,NA
1867,Nova Scotia,HALIFAX,Anti-Confederate,2381,26.28
1867,Nova Scotia,HALIFAX,Anti-Confederate,2367,26.13
1867,Nova Scotia,HALIFAX,Unknown,2158,23.82
1867,Nova Scotia,HALIFAX,Unknown,2154,23.77
1867,Nova Scotia,HANTS,Anti-Confederate,1530,61.54
1867,Nova Scotia,HANTS,Unknown,956,38.46
1867,Nova Scotia,INVERNESS,Anti-Confederate,1186,66.37
1867,Nova Scotia,INVERNESS,Conservative,601,33.63
1867,Nova Scotia,KINGS,Anti-Confederate,1472,69.08
1867,Nova Scotia,KINGS,Unknown,659,30.92
1867,Nova Scotia,LUNENBURG,Anti-Confederate,1557,63.24
1867,Nova Scotia,LUNENBURG,Unknown,905,36.76
1867,Nova Scotia,PICTOU,Anti-Confederate,2011,54.89
1867,Nova Scotia,PICTOU,Conservative,1653,45.11
1867,Nova Scotia,QUEENS,Anti-Confederate,844,75.7
1867,Nova Scotia,QUEENS,Unknown,271,24.3
1867,Nova Scotia,RICHMOND,Anti-Confederate,545,66.14
1867,Nova Scotia,RICHMOND,Unknown,279,33.86
1867,Nova Scotia,SHELBURNE,Anti-Confederate,accl.,NA
1867,Nova Scotia,VICTORIA,Anti-Confederate,accl.,NA
1867,Nova Scotia,YARMOUTH,Anti-Confederate,1225,64.78
1867,Nova Scotia,YARMOUTH,Unknown,666,35.22
1867,Ontario,ADDINGTON,Conservative,1120,52.98
1867,Ontario,ADDINGTON,Liberal-Conservative,991,46.88
1867,Ontario,ADDINGTON,Unknown,2,0.09
1867,Ontario,ADDINGTON,Unknown,1,0.05
1867,Ontario,ADDINGTON,Unknown,0,0
