Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, ,
1867,New Brunswick,ALBERT,John WALLACE Liberal,farmer,778,52.14,,
1867,New Brunswick,ALBERT,Henry J. STEVENS Unknown,,714,47.86,,
1867,New Brunswick,CARLETON,Hon. Charles CONNELL Liberal,general merchant,accl.,NA,,
1867,New Brunswick,CHARLOTTE,John BOLTON Liberal,businessman,1214,56.94,,
1867,New Brunswick,CHARLOTTE,Robert THOMPSON Unknown,,918,43.06,,
1867,New Brunswick,CITY AND COUNTY OF ST. JOHN,Hon. John H. GRAY Conservative,lawyer,accl.,NA,,
1867,New Brunswick,CITY OF ST. JOHN,Hon. Samuel Leonard TILLEY Liberal-Conservative,druggist,1402,69.68,,
1867,New Brunswick,CITY OF ST. JOHN,John WILSON Unknown,,610,30.32,,
1867,New Brunswick,GLOUCESTER,Hon. Timothy Warren ANGLIN Liberal,editor,1061,61.26,,
1867,New Brunswick,GLOUCESTER,John MEHAN Unknown,,671,38.74,,
1867,New Brunswick,KENT,Auguste RENAUD Liberal,farmer,876,41.28,,
1867,New Brunswick,KENT, DES BRISAY Unknown,,757,35.67,,
1867,New Brunswick,KENT, MCINERNAY Unknown,,485,22.86,,
1867,New Brunswick,KENT, CUTLER Unknown,,4,0.19,,
1867,New Brunswick,KING'S,George RYAN Liberal,farmer,1303,54.61,, 
1867,New Brunswick,KING'S, OTTY Unknown,,1083,45.39,,
1867,New Brunswick,NORTHUMBERLAND,Hon. John M. JOHNSON Liberal,lawyer,1226,61.83,,
1867,New Brunswick,NORTHUMBERLAND,Thos.F. GILLESPIE Unknown,,757,38.17,,
1867,New Brunswick,QUEEN'S,John FARRIS Liberal,lumber merchant,accl.,NA,,
1867,New Brunswick,RESTIGOUCHE,Hon. John MCMILLAN Liberal,merchant,370,58.82,,
1867,New Brunswick,RESTIGOUCHE,John PHILLIPS Unknown,,259,41.18,,
1867,New Brunswick,SUNBURY,Charles BURPEE Liberal,farmer,664,60.97,,
1867,New Brunswick,SUNBURY,Wm. C. PERLEY Unknown,,425,39.03,,
1867,New Brunswick,VICTORIA,John COSTIGAN Liberal-Conservative,judge,778,57.93,,
1867,New Brunswick,VICTORIA,Wm. B. BEVERIDGE Unknown,,549,40.88,,
1867,New Brunswick,VICTORIA,James WORKMAN Unknown,,16,1.19,,
1867,New Brunswick,VICTORIA,James TIBBETTS Unknown,,0,0,,
1867,New Brunswick,WESTMORLAND,Hon. Albert James SMITH Liberal,lawyer,2207,82.94,,
1867,New Brunswick,WESTMORLAND,J.J.D. LANDRY Unknown,,454,17.06,,
1867,New Brunswick,YORK,Hon. Charles FISHER Liberal,lawyer,accl.,NA,,
1867,Nova Scotia,ANNAPOLIS,William H. RAY Anti-Confederate,farmer,1171,53.54,,
1867,Nova Scotia,ANNAPOLIS, LONGLEY Conservative,merchant,1016,46.46,,
